anio_enfr,prov_id,prov_nombre,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2018,74,San Luis,30 a 44,Varón,3849,1457.93,0.38,0.09,0.03,0.36,Muy alta
2018,74,San Luis,45 a 59,Mujer,5069,1126.46,0.22,0.13,0.03,0.21,Alta
2018,74,San Luis,45 a 59,Varón,2962,1406.22,0.47,0.12,0.05,0.42,Muy alta
2018,74,San Luis,60 a 74,Mujer,4558,979.77,0.21,0.22,0.04,0.2,Moderada
2018,74,San Luis,60 a 74,Varón,11036,2274.37,0.21,0.42,0.07,0.17,Moderada
2018,74,San Luis,75+,Mujer,2972,1022.67,0.34,0.34,0.1,0.28,Alta
2018,74,San Luis,75+,Varón,2493,926.1,0.37,0.47,0.14,0.29,Alta
2018,78,Santa Cruz,20 a 29,Mujer,3507,1379.07,0.39,0.11,0.04,0.39,Muy alta
2018,78,Santa Cruz,20 a 29,Varón,3390,1490.58,0.44,0.12,0.05,0.45,Muy alta
2018,78,Santa Cruz,30 a 44,Mujer,4567,1177.09,0.26,0.12,0.03,0.26,Alta
2018,78,Santa Cruz,30 a 44,Varón,943,562.07,0.6,0.03,0.02,0.57,Muy alta
2018,78,Santa Cruz,45 a 59,Mujer,4763,1115.13,0.23,0.22,0.05,0.22,Alta
2018,78,Santa Cruz,45 a 59,Varón,2822,1005.59,0.36,0.12,0.04,0.36,Muy alta
2018,78,Santa Cruz,60 a 74,Mujer,3102,1183.63,0.38,0.28,0.09,0.33,Muy alta
2018,78,Santa Cruz,60 a 74,Varón,6440,1366.6,0.21,0.4,0.08,0.2,Moderada
2018,78,Santa Cruz,75+,Mujer,1022,530.75,0.52,0.3,0.12,0.4,Muy alta
2018,78,Santa Cruz,75+,Varón,551,362.47,0.66,0.3,0.2,0.68,Muy alta
2018,82,Santa Fe,20 a 29,Mujer,29515,8222.87,0.28,0.12,0.03,0.27,Alta
