anio_enfr,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2009,NOA1,30 a 44,Mujer,17,1.88888888888889,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,95.7951652485691
2009,NOA1,30 a 44,Varón,19,2.11111111111111,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,95.71492807276
2009,NOA1,45 a 59,Mujer,140,15.5555555555556,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,566.853221380032
2009,NOA1,45 a 59,Varón,182,20.2222222222222,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,635.512222250827
2009,NOA1,60 a 74,Mujer,381,42.3333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,977.116240829423
2009,NOA1,60 a 74,Varón,482,53.5555555555556,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1009.11531864744
2009,NOA1,75+,Mujer,435,48.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,566.195046004942
2009,NOA1,75+,Varón,334,37.1111111111111,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,345.067495269887
2009,NOA2,20 a 29,Mujer,3,0.5,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,30.201486968872
2009,NOA2,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2009,NOA2,30 a 44,Mujer,6,1,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,50.7150874845366
2009,NOA2,30 a 44,Varón,10,1.66666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,75.5644168995474
2009,NOA2,45 a 59,Mujer,46,7.66666666666667,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,279.37765910873
2009,NOA2,45 a 59,Varón,59,9.83333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,309.026547632957
2009,NOA2,60 a 74,Mujer,98,16.3333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,376.997604729462
2009,NOA2,60 a 74,Varón,159,26.5,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,499.323658708328
2009,NOA2,75+,Mujer,125,20.8333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,244.049588795233
2009,NOA2,75+,Varón,91,15.1666666666667,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,141.023093126765
2009,Patagonia Norte,20 a 29,Mujer,1,0.111111111111111,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,6.71144154863823
2009,Patagonia Norte,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2009,Patagonia Norte,30 a 44,Mujer,7,0.777777777777778,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,39.4450680435284
2009,Patagonia Norte,30 a 44,Varón,4,0.444444444444444,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,20.1505111732126
2009,Patagonia Norte,45 a 59,Mujer,48,5.33333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,194.349675901725
2009,Patagonia Norte,45 a 59,Varón,74,8.22222222222222,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,258.39507937671
2009,Patagonia Norte,60 a 74,Mujer,149,16.5555555555556,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,382.126823841428
2009,Patagonia Norte,60 a 74,Varón,208,23.1111111111111,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,435.468851200554
2009,Patagonia Norte,75+,Mujer,240,26.6666666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,312.383473657899
2009,Patagonia Norte,75+,Varón,204,22.6666666666667,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,210.759787530111
2009,Patagonia Sur,20 a 29,Mujer,1,0.111111111111111,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,6.71144154863823
2009,Patagonia Sur,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2009,Patagonia Sur,30 a 44,Mujer,5,0.555555555555556,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,28.1750486025203
2009,Patagonia Sur,30 a 44,Varón,4,0.444444444444444,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,20.1505111732126
2009,Patagonia Sur,45 a 59,Mujer,20,2.22222222222222,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,80.9790316257188
2009,Patagonia Sur,45 a 59,Varón,28,3.11111111111111,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,97.7711111155118
2009,Patagonia Sur,60 a 74,Mujer,50,5.55555555555556,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,128.230477799137
2009,Patagonia Sur,60 a 74,Varón,96,10.6666666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,200.985623631025
2009,Patagonia Sur,75+,Mujer,93,10.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,121.048596042436
2009,Patagonia Sur,75+,Varón,95,10.5555555555556,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,98.147940271375
2013,Centro,20 a 29,Mujer,31,2.06666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,124.832812804671
2013,Centro,20 a 29,Varón,28,1.86666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,102.025601789001
2013,Centro,30 a 44,Mujer,120,8,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,405.720699876293
2013,Centro,30 a 44,Varón,156,10.4,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,471.521961453176
