anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,26,Chubut,60 a 69,Varón,33,5.5,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,103.633212184747
2005,26,Chubut,70 a 79,Mujer,21,3.5,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,53.2718374119915
2005,26,Chubut,70 a 79,Varón,42,7,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,84.5328468204022
2005,26,Chubut,80+,Mujer,28,9.33333333333333,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,78.8912163636507
2005,26,Chubut,80+,Varón,16,5.33333333333333,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,36.1740827892169
2005,30,Entre Ríos,20 a 29,Mujer,0,0,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,0
2005,30,Entre Ríos,20 a 29,Varón,1,0.166666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,9.10942873116082
2005,30,Entre Ríos,30 a 39,Mujer,7,1.16666666666667,98257.61885,978444.5914,916.7822444,0.001874835,0.009351389,4983143.736,50.7150874845366,59.1676020652927
2005,30,Entre Ríos,30 a 39,Varón,0,0,96997.57994,962453.8176,1611.2049546,0.003350036,0.016679033,4397739.3413,45.3386501397284,0
2005,30,Entre Ríos,40 a 49,Mujer,10,1.66666666666667,97340.83661,964916.2275,1899.1859597,0.003940669,0.019602298,4004699.1446,41.1409977977176,68.5683296628627
2005,30,Entre Ríos,40 a 49,Varón,13,2.16666666666667,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,78.0312558920911
2005,30,Entre Ríos,50 a 59,Mujer,42,7,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,222.947531552358
2005,30,Entre Ríos,50 a 59,Varón,55,9.16666666666667,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,247.437720481653
2005,30,Entre Ríos,60 a 69,Mujer,95,15.8333333333333,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,365.45686172754
2005,30,Entre Ríos,60 a 69,Varón,137,22.8333333333333,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,430.234850585163
2005,30,Entre Ríos,70 a 79,Mujer,145,24.1666666666667,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,367.829353558989
2005,30,Entre Ríos,70 a 79,Varón,163,27.1666666666667,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,328.067953136323
2005,30,Entre Ríos,80+,Mujer,170,56.6666666666667,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,478.982385065022
2005,30,Entre Ríos,80+,Varón,92,30.6666666666667,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,208.000976037997
2005,34,Formosa,20 a 29,Mujer,1,0.166666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,10.0671623229573
2005,34,Formosa,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,34,Formosa,30 a 39,Mujer,2,0.333333333333333,98257.61885,978444.5914,916.7822444,0.001874835,0.009351389,4983143.736,50.7150874845366,16.9050291615122
2005,34,Formosa,30 a 39,Varón,3,0.5,96997.57994,962453.8176,1611.2049546,0.003350036,0.016679033,4397739.3413,45.3386501397284,22.6693250698642
2005,34,Formosa,40 a 49,Mujer,9,1.5,97340.83661,964916.2275,1899.1859597,0.003940669,0.019602298,4004699.1446,41.1409977977176,61.7114966965764
2005,34,Formosa,40 a 49,Varón,2,0.333333333333333,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,12.0048085987832
2005,34,Formosa,50 a 59,Mujer,33,5.5,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,175.173060505424
2005,34,Formosa,50 a 59,Varón,39,6.5,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,175.455838159717
2005,34,Formosa,60 a 69,Mujer,51,8.5,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,196.192631032679
2005,34,Formosa,60 a 69,Varón,54,9,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,169.581619938677
2005,34,Formosa,70 a 79,Mujer,81,13.5,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,205.477087160538
2005,34,Formosa,70 a 79,Varón,59,9.83333333333333,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,118.748522914375
