anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,26,Chubut,25 a 29,Mujer,1,0.333333333333333,98542.10248,491999.3033,284.4836318,0.00057822,0.002886925,5475143.0393,55.5614595336164,18.5204865112055
2005,26,Chubut,25 a 29,Varón,0,0,97648.59076,486615.4267,651.0108159,0.001337834,0.006666874,4884354.768,50.0197159015303,0
2005,26,Chubut,30 a 34,Mujer,1,0.333333333333333,98257.61885,490368.2735,367.9282986,0.00075031,0.003744527,4983143.736,50.7150874845366,16.9050291615122
2005,26,Chubut,30 a 34,Varón,2,0.666666666666667,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.3386501397284,30.225766759819
2005,26,Chubut,35 a 39,Mujer,2,0.666666666666667,97889.69055,488076.3179,548.8539458,0.001124525,0.005606862,4492775.4625,45.896308766092,30.5975391773947
2005,26,Chubut,35 a 39,Varón,0,0,96298.78607,479212.9026,912.4110809,0.001903979,0.009474793,3914498.4263,40.649509573823,0
2005,26,Chubut,40 a 44,Mujer,0,0,97340.83661,484832.0962,748.8347317,0.001544524,0.007692914,4004699.1446,41.1409977977176,0
2005,26,Chubut,40 a 44,Varón,1,0.333333333333333,95386.37498,474035.943,1158.372781,0.002443639,0.012144007,3435285.5237,36.0144257963497,12.0048085987832
2005,26,Chubut,45 a 49,Mujer,1,0.333333333333333,96592.00187,480084.1313,1150.351228,0.002396145,0.011909384,3519867.0484,36.4405642315735,12.1468547438578
2005,26,Chubut,45 a 49,Varón,2,0.666666666666667,94228.0022,466613.0114,1810.799842,0.003880732,0.019217216,2961249.5807,31.4264285728431,20.9509523818954
