anio_enfr,prov_id,prov_nombre,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,26,Chubut,Patagonia Sur,20 a 29,Mujer,1,0.333333333333333,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,20.1343246459147
2005,26,Chubut,Patagonia Sur,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,26,Chubut,Patagonia Sur,30 a 44,Mujer,3,1,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,50.7150874845366
2005,26,Chubut,Patagonia Sur,30 a 44,Varón,3,1,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,45.3386501397284
2005,26,Chubut,Patagonia Sur,45 a 59,Mujer,9,3,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,109.32169269472
2005,26,Chubut,Patagonia Sur,45 a 59,Varón,20,6.66666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,209.509523818954
2005,26,Chubut,Patagonia Sur,60 a 74,Mujer,30,10,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,230.814860038446
2005,26,Chubut,Patagonia Sur,60 a 74,Varón,57,19,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,358.005642092763
2005,26,Chubut,Patagonia Sur,75+,Mujer,41,13.6666666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,160.096530249673
2005,26,Chubut,Patagonia Sur,75+,Varón,34,11.3333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,105.379893765055
2005,30,Entre Ríos,Centro,20 a 29,Mujer,0,0,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,0
2005,30,Entre Ríos,Centro,20 a 29,Varón,1,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2005,30,Entre Ríos,Centro,30 a 44,Mujer,12,4,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,202.860349938146
2005,30,Entre Ríos,Centro,30 a 44,Varón,3,1,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,45.3386501397284
2005,30,Entre Ríos,Centro,45 a 59,Mujer,47,15.6666666666667,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,570.902172961318
2005,30,Entre Ríos,Centro,45 a 59,Varón,65,21.6666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,680.9059524116
2005,30,Entre Ríos,Centro,60 a 74,Mujer,155,51.6666666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1192.54344353197
2005,30,Entre Ríos,Centro,60 a 74,Varón,214,71.3333333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1344.09135803248
2005,30,Entre Ríos,Centro,75+,Mujer,255,85,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,995.722322284553
2005,30,Entre Ríos,Centro,75+,Varón,178,59.3333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,551.694737946466
2005,34,Formosa,NEA,20 a 29,Mujer,1,0.333333333333333,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,20.1343246459147
2005,34,Formosa,NEA,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,34,Formosa,NEA,30 a 44,Mujer,5,1.66666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,84.525145807561
2005,34,Formosa,NEA,30 a 44,Varón,4,1.33333333333333,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,60.4515335196379
2005,34,Formosa,NEA,45 a 59,Mujer,39,13,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,473.727335010455
2005,34,Formosa,NEA,45 a 59,Varón,40,13.3333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,419.019047637908
2005,34,Formosa,NEA,60 a 74,Mujer,91,30.3333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,700.138408783287
2005,34,Formosa,NEA,60 a 74,Varón,88,29.3333333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,552.710464985319
2005,34,Formosa,NEA,75+,Mujer,87,29,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,339.717027602965
2005,34,Formosa,NEA,75+,Varón,48,16,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,148.771614727137
2005,38,Jujuy,NOA1,20 a 29,Mujer,1,0.333333333333333,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,20.1343246459147
2005,38,Jujuy,NOA1,20 a 29,Varón,1,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2005,38,Jujuy,NOA1,30 a 44,Mujer,1,0.333333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,16.9050291615122
2005,38,Jujuy,NOA1,30 a 44,Varón,6,2,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,90.6773002794568
2005,38,Jujuy,NOA1,45 a 59,Mujer,16,5.33333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,194.349675901725
2005,38,Jujuy,NOA1,45 a 59,Varón,21,7,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,219.985000009902
2005,38,Jujuy,NOA1,60 a 74,Mujer,64,21.3333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,492.405034748686
